,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39
cust_df.10001,0.246623,0.247589,0.058652,0.042945,0.066714,0.083151,0.085830,0.145848,0.200589,0.364255,0.219522,0.111223,0.171774,0.272759,0.067939,0.131258,0.213764,0.141279,0.275560,0.105917,0.143380,0.159380,0.189373,0.059360,0.064669,0.224607,0.050979,0.081537,0.198839,0.181773,0.239608,0.082933,0.027471,0.102518,0.062432,0.058968,0.062471,0.063927,0.220656
cust_df.SRIMVH,0.345098,0.318559,0.076904,0.109795,0.125825,0.121841,0.098878,0.179654,0.209658,0.371683,0.215398,0.149048,0.133740,0.350340,0.119224,0.175689,0.274665,0.148625,0.242385,0.165341,0.186181,0.259619,0.177952,0.041042,0.090670,0.302891,0.067328,0.124378,0.230605,0.203447,0.291113,0.153530,0.077338,0.130806,0.063221,0.113154,0.012117,0.113920,0.249505
cust_df.SLZCISTEWL,0.318662,0.310958,0.073281,0.096228,0.111396,0.097462,0.083231,0.177662,0.206566,0.379657,0.219442,0.131020,0.127786,0.342647,0.094595,0.161586,0.250962,0.141493,0.246018,0.130660,0.177340,0.245880,0.158479,0.016023,0.066385,0.287191,0.042933,0.102215,0.215149,0.202220,0.253926,0.120718,0.048021,0.111995,0.060036,0.087575,0.013657,0.103199,0.264799
cust_df.1467048332 Dell Way,0.219743,0.238866,0.098758,0.121500,0.134199,0.109421,0.046888,0.166280,0.173831,0.352968,0.178389,0.145058,0.093944,0.282090,0.069019,0.176949,0.290064,0.136075,0.238544,0.131843,0.156444,0.197052,0.155956,0.019536,0.062349,0.291219,0.045509,0.100837,0.262175,0.161218,0.216428,0.104651,0.115895,0.087069,0.084548,0.081289,0.047055,0.061966,0.199236
cust_df.Unnamed: 4,0.339343,0.355982,0.105727,0.085463,0.196531,0.156791,0.205440,0.227706,0.224419,0.314949,0.220040,0.197827,0.184782,0.359928,0.259739,0.284150,0.322883,0.197231,0.316832,0.224150,0.261555,0.291157,0.217636,0.096564,0.170204,0.343144,0.114750,0.119306,0.313127,0.355866,0.254824,0.113003,0.104303,0.141364,0.078806,0.145606,0.035167,0.158513,0.253731
cust_df.DXPGGAE,0.304991,0.285263,0.147665,0.176995,0.134113,0.122222,0.111744,0.192678,0.237354,0.400990,0.228341,0.146662,0.158404,0.320572,0.116228,0.198433,0.275608,0.160551,0.280165,0.238323,0.190713,0.263811,0.180362,0.046242,0.082481,0.300283,0.085651,0.139270,0.243189,0.231446,0.289864,0.185381,0.130773,0.144014,0.067924,0.124388,0.014500,0.114972,0.256333
cust_df.Unnamed: 6,0.340724,0.355411,0.106280,0.086094,0.197949,0.157629,0.205878,0.224628,0.224972,0.318589,0.223912,0.200892,0.185319,0.360892,0.261204,0.282705,0.319253,0.196771,0.315055,0.219659,0.254910,0.293199,0.215361,0.092912,0.170647,0.342112,0.119176,0.119119,0.306282,0.347985,0.255387,0.116001,0.100868,0.149111,0.075653,0.141725,0.034043,0.158516,0.255135
cust_df.00000,0.269782,0.286953,0.040845,0.031993,0.121780,0.118304,0.224678,0.158971,0.159212,0.335970,0.187717,0.148049,0.254193,0.331288,0.222675,0.146624,0.244266,0.140685,0.301935,0.122836,0.174681,0.173181,0.183799,0.087935,0.085152,0.229503,0.094588,0.086921,0.232378,0.232574,0.250546,0.055865,0.043177,0.117597,0.033291,0.091067,0.048507,0.107693,0.184157
cust_df.UK,0.270022,0.240236,0.004036,0.044667,0.096091,0.082412,0.078516,0.185723,0.172112,0.354994,0.189990,0.112859,0.143878,0.297497,0.098897,0.131692,0.190493,0.132000,0.221541,0.076743,0.138349,0.183744,0.120748,0.014512,0.058585,0.245712,0.015306,0.071843,0.170692,0.170264,0.229434,0.067210,0.010849,0.088730,0.020305,0.078645,0.003396,0.106192,0.214694
cust_df.2,0.227737,0.235944,0.082220,0.080292,0.099866,0.100207,0.143243,0.141403,0.164697,0.354509,0.182666,0.122399,0.198356,0.271353,0.128835,0.156439,0.239055,0.148440,0.310924,0.164323,0.170683,0.186937,0.192765,0.072610,0.063553,0.240639,0.082972,0.072379,0.217591,0.204506,0.256757,0.108871,0.042407,0.138530,0.054713,0.077957,0.060727,0.081094,0.211047
cust_df.SLZCISTEWL@dell.com,0.256666,0.274860,0.053869,0.103879,0.103546,0.109101,0.043904,0.167122,0.185141,0.354400,0.200646,0.130591,0.098692,0.304578,0.060914,0.133436,0.289135,0.124380,0.245900,0.113977,0.168777,0.208956,0.153485,0.025912,0.065478,0.266776,0.045152,0.096242,0.258421,0.180548,0.217617,0.096935,0.073493,0.118382,0.043628,0.099969,0.036756,0.096608,0.210897
cust_df.1467048332,0.239732,0.251107,0.061896,0.062662,0.069925,0.071549,0.082608,0.163269,0.194859,0.365387,0.222571,0.106401,0.152807,0.281408,0.074981,0.152896,0.240410,0.149757,0.285262,0.117182,0.163473,0.192641,0.182960,0.060657,0.080360,0.262513,0.045479,0.070232,0.215680,0.195414,0.243605,0.070211,0.009362,0.097609,0.061280,0.060741,0.053627,0.080525,0.212675
cust_df.5,0.262202,0.294502,0.088014,0.096326,0.107060,0.130643,0.083465,0.188085,0.233929,0.420699,0.246397,0.139704,0.175551,0.337160,0.087450,0.200447,0.306465,0.185341,0.324625,0.153657,0.187356,0.201998,0.231770,0.101768,0.100236,0.307146,0.059975,0.145967,0.286024,0.229730,0.294809,0.117159,0.069237,0.152497,0.083222,0.137780,0.085189,0.119034,0.235438
cust_df.1281093623023480,0.214395,0.226889,0.038048,0.045752,0.081151,0.073221,0.081496,0.156124,0.174668,0.316537,0.197367,0.118885,0.139283,0.253213,0.078955,0.155035,0.292603,0.136134,0.280082,0.125714,0.169195,0.191924,0.177146,0.070769,0.086491,0.274069,0.043193,0.057179,0.272004,0.201092,0.219219,0.058850,0.017789,0.073532,0.058019,0.069523,0.052896,0.103271,0.185534
cust_df.2012/09,0.272206,0.242843,0.027875,0.015112,0.049367,0.058977,0.067169,0.153167,0.139434,0.388344,0.157383,0.076093,0.168815,0.313380,0.100121,0.133574,0.192508,0.119967,0.266929,0.082177,0.092546,0.208953,0.137388,0.025146,0.037539,0.258737,0.018649,0.085214,0.177913,0.150234,0.254371,0.098087,-0.010225,0.120375,0.031492,0.037933,-0.006573,0.075981,0.187139
cust_df.user10001,0.299402,0.289956,0.069674,0.056597,0.057389,0.072927,0.059608,0.171257,0.203389,0.398869,0.216315,0.084244,0.134294,0.327067,0.064964,0.134828,0.223906,0.137642,0.255403,0.103034,0.149738,0.197747,0.154941,0.009286,0.053076,0.244606,0.032372,0.109594,0.195185,0.186208,0.251958,0.103997,0.024799,0.112898,0.055239,0.062231,0.041465,0.087737,0.238828
cust_df.password,0.266386,0.369648,0.040228,0.062405,0.051606,0.065882,0.073057,0.169792,0.134685,0.305792,0.157410,0.076110,0.111088,0.361773,0.075776,0.131126,0.222947,0.120791,0.229776,0.102276,0.164578,0.253341,0.114703,0.026374,0.058701,0.227902,-0.021529,0.051691,0.220671,0.211013,0.210994,0.084522,0.016522,0.080672,0.017793,0.145465,-0.012799,0.117969,0.245599
