col_i,col_j,table_i,table_j,P_stat,P_stat_norm,P_name,P_sem,Sim_attr,weight
cust_df.M,CUSTOMER.M,cust_df,CUSTOMER,0.0,0.0,1.0,0.193226,0.959661,0.959661
cust_df.5,CUSTOMER.5,cust_df,CUSTOMER,0.0,0.0,1.0,0.186091,0.959305,0.959305
cust_df.F,CUSTOMER.F,cust_df,CUSTOMER,0.0,0.0,1.0,0.183762,0.959188,0.959188
cust_df.user10001,CUSTOMER.user10001,cust_df,CUSTOMER,0.0,0.0,1.0,0.171137,0.958557,0.958557
cust_df.DXPGGAE,CUSTOMER.DXPGGAE,cust_df,CUSTOMER,0.0,0.0,1.0,0.171101,0.958555,0.958555
cust_df.2012/09,CUSTOMER.2012/09,cust_df,CUSTOMER,0.0,0.0,1.0,0.166403,0.95832,0.95832
cust_df.2012/06,CUSTOMER.2012/06,cust_df,CUSTOMER,0.0,0.0,1.0,0.164268,0.958213,0.958213
cust_df.SLZCISTEWL,CUSTOMER.SLZCISTEWL,cust_df,CUSTOMER,0.0,0.0,1.0,0.161687,0.958084,0.958084
cust_df.Unnamed: 4,CUSTOMER.Unnamed: 4,cust_df,CUSTOMER,0.0,0.0,1.0,0.159578,0.957979,0.957979
cust_df.Unnamed: 6,CUSTOMER.Unnamed: 6,cust_df,CUSTOMER,0.0,0.0,1.0,0.159249,0.957962,0.957962
cust_df.49,CUSTOMER.49,cust_df,CUSTOMER,0.0,0.0,1.0,0.15856,0.957928,0.957928
cust_df.SRIMVH,CUSTOMER.SRIMVH,cust_df,CUSTOMER,0.0,0.0,1.0,0.157932,0.957897,0.957897
cust_df.FQIVBKWIZC,CUSTOMER.FQIVBKWIZC,cust_df,CUSTOMER,0.0,0.0,1.0,0.156519,0.957826,0.957826
cust_df.1,CUSTOMER.1,cust_df,CUSTOMER,0.0,0.0,1.0,0.156368,0.957818,0.957818
cust_df.80000,CUSTOMER.80000,cust_df,CUSTOMER,0.0,0.0,1.0,0.155849,0.957792,0.957792
CUST_HIST.5001,custhist_df.5001,CUST_HIST,custhist_df,0.0,0.0,1.0,0.155719,0.957786,0.957786
cust_df.1.1,CUSTOMER.1.1,cust_df.1,CUSTOMER.1,0.0,0.0,1.0,0.154986,0.957749,0.957749
cust_df.RNPOJG,CUSTOMER.RNPOJG,cust_df,CUSTOMER,0.0,0.0,1.0,0.153167,0.957658,0.957658
CUST_HIST.7001,custhist_df.7001,CUST_HIST,custhist_df,0.0,0.0,1.0,0.151207,0.95756,0.95756
