table_i,table_j,Sim_T
CUSTOMER.1,cust_df.1,0.957749
INVENTORY,inv_df,0.956867
CUSTOMER.SLZCISTEWL@dell,cust_df.SLZCISTEWL@dell,0.956698
CUSTOMER.FQIVBKWIZC@dell,cust_df.FQIVBKWIZC@dell,0.956091
CUST_HIST,custhist_df,0.955943
ORDERLINES.1,orderlines_df.1,0.955521
ORDERS.8,orders_df.8,0.954997
ORDERS.244,orders_df.244,0.954879
ORDERS.9,orders_df.9,0.954877
ORDERS.384,orders_df.384,0.954854
ORDERS.2,orders_df.2,0.954848
ORDERS.289,orders_df.289,0.954822
ORDERS.5,orders_df.5,0.954803
ORDERS.392,orders_df.392,0.954778
ORDERS.34,orders_df.34,0.954763
ORDERS.102,orders_df.102,0.954762
ORDERS.184,orders_df.184,0.954756
ORDERS.313,orders_df.313,0.954727
ORDERS.28,orders_df.28,0.954717
ORDERS.14,orders_df.14,0.954698
ORDERS.31,orders_df.31,0.954685
ORDERS.29,orders_df.29,0.954683
ORDERS.73,orders_df.73,0.954672
ORDERS.67,orders_df.67,0.954648
ORDERS.379,orders_df.379,0.954638
ORDERS.339,orders_df.339,0.95462
ORDERS.0,orders_df.0,0.954608
ORDERS.416,orders_df.416,0.954606
ORDERS.23,orders_df.23,0.954606
ORDERS.20,orders_df.20,0.95459
ORDERS.10,orders_df.10,0.954583
ORDERS.134,orders_df.134,0.954579
ORDERS.170,orders_df.170,0.954559
ORDERS.264,orders_df.264,0.954539
ORDERS.111,orders_df.111,0.954528
ORDERS.362,orders_df.362,0.954508
ORDERS.25,orders_df.25,0.954465
PRODUCTS.25,prod_df.25,0.954438
ORDERS.123,orders_df.123,0.954432
ORDERS.350,orders_df.350,0.954374
CUSTOMER.1,ORDERLINES.1,0.916928
CUSTOMER.1,orderlines_df.1,0.916491
ORDERLINES.1,cust_df.1,0.915789
cust_df.1,orderlines_df.1,0.915425
ORDERLINES,orderlines_df,0.907001
CUSTOMER,cust_df,0.877647
PRODUCTS,prod_df,0.819614
ORDERLINES,custhist_df,0.769069
CUST_HIST,ORDERLINES,0.768918
custhist_df,orderlines_df,0.768864
CUST_HIST,orderlines_df,0.768644
ORDERS,custhist_df,0.764126
CUST_HIST,ORDERS,0.763887
custhist_df,orders_df,0.762371
CUST_HIST,orders_df,0.762127
ORDERLINES,orders_df,0.725983
ORDERLINES,ORDERS,0.725932
orderlines_df,orders_df,0.725778
ORDERS,orderlines_df,0.725704
orders_df.28,orders_df.289,0.721258
ORDERS.28,orders_df.289,0.721148
orders_df.379,orders_df.384,0.721143
ORDERS.289,orders_df.28,0.721134
ORDERS.28,ORDERS.289,0.721112
ORDERS.379,orders_df.384,0.721035
ORDERS.384,orders_df.379,0.720989
ORDERS.379,ORDERS.384,0.720957
orders_df.102,orders_df.2,0.720689
orders_df.134,orders_df.184,0.720606
ORDERS.102,orders_df.2,0.720592
ORDERS.184,orders_df.134,0.720551
orders_df.10,orders_df.170,0.720523
ORDERS.2,orders_df.102,0.720515
orders_df.10,orders_df.102,0.720486
ORDERS.170,orders_df.10,0.720423
ORDERS.102,ORDERS.2,0.720421
ORDERS.134,orders_df.184,0.720416
ORDERS.102,orders_df.10,0.720392
ORDERS.134,ORDERS.184,0.720364
ORDERS.10,orders_df.170,0.720349
ORDERS.10,orders_df.102,0.720308
ORDERS.10,ORDERS.170,0.720252
ORDERS.10,ORDERS.102,0.720217
orders_df.102,orders_df.170,0.719582
ORDERS.102,orders_df.170,0.719489
ORDERS.170,orders_df.102,0.719481
ORDERS.102,ORDERS.170,0.71939
orders_df.313,orders_df.416,0.716688
ORDERS.313,orders_df.416,0.716643
ORDERS.416,orders_df.313,0.716603
ORDERS.313,ORDERS.416,0.716558
INVENTORY,custhist_df,0.680512
custhist_df,inv_df,0.680307
CUST_HIST,INVENTORY,0.680133
CUST_HIST,inv_df,0.680004
orders_df.28,prod_df.25,0.674662
ORDERS.28,prod_df.25,0.674555
PRODUCTS.25,orders_df.28,0.674395
orders_df.23,prod_df.25,0.674335
ORDERS.28,PRODUCTS.25,0.674294
ORDERS.23,prod_df.25,0.674178
orders_df.67,prod_df.25,0.674082
PRODUCTS.25,orders_df.23,0.67407
orders_df.34,orders_df.8,0.674037
ORDERS.8,orders_df.34,0.674017
ORDERS.34,orders_df.8,0.673947
orders_df,orders_df.14,0.673941
ORDERS.67,prod_df.25,0.67394
ORDERS.34,ORDERS.8,0.673928
ORDERS.23,PRODUCTS.25,0.673922
PRODUCTS.25,orders_df.67,0.673816
ORDERS,orders_df.14,0.673758
ORDERS.14,orders_df,0.673748
orders_df.2,orders_df.29,0.673695
ORDERS.67,PRODUCTS.25,0.673681
custhist_df,orders_df.14,0.673586
ORDERS,ORDERS.14,0.673575
ORDERS.29,orders_df.2,0.673562
ORDERS.2,orders_df.29,0.673522
ORDERS.0,ORDERS.20,0.673455
orders_df.0,orders_df.20,0.673432
ORDERS.0,orders_df.20,0.673405
ORDERS.2,ORDERS.29,0.673394
ORDERS.14,custhist_df,0.673386
orders_df.20,orders_df.23,0.67332
ORDERS.20,orders_df.0,0.673297
orders_df.28,orders_df.29,0.673281
orders_df.25,orders_df.31,0.673225
CUST_HIST,orders_df.14,0.673206
ORDERS.20,orders_df.23,0.673183
ORDERS.28,orders_df.29,0.673173
ORDERS.23,orders_df.20,0.673162
ORDERS.29,orders_df.28,0.67315
orders_df.29,prod_df.25,0.673117
ORDERS.31,orders_df.25,0.673087
ORDERS.25,orders_df.31,0.673064
