table_i,table_j,n_cols_i,n_cols_j,n_cross_pairs,n_matches,raw_sim,M_max,CR,Sim_T,norm_changed
CUSTOMER.1,cust_df.1,0,0,1,1,0.957749,1,1.0,0.957749,False
INVENTORY,inv_df,3,3,9,3,0.956867,3,1.0,0.956867,False
CUSTOMER.SLZCISTEWL@dell,cust_df.SLZCISTEWL@dell,0,0,1,1,0.956698,1,1.0,0.956698,False
CUSTOMER.FQIVBKWIZC@dell,cust_df.FQIVBKWIZC@dell,0,0,1,1,0.956091,1,1.0,0.956091,False
CUST_HIST,custhist_df,36,36,1296,36,0.955943,36,1.0,0.955943,False
ORDERLINES.1,orderlines_df.1,0,0,4,2,0.955521,2,1.0,0.955521,False
ORDERS.8,orders_df.8,0,0,4,2,0.954997,2,1.0,0.954997,False
ORDERS.244,orders_df.244,0,0,1,1,0.954879,1,1.0,0.954879,False
ORDERS.9,orders_df.9,0,0,1,1,0.954877,1,1.0,0.954877,False
ORDERS.384,orders_df.384,0,0,1,1,0.954854,1,1.0,0.954854,False
ORDERS.2,orders_df.2,0,0,1,1,0.954848,1,1.0,0.954848,False
ORDERS.289,orders_df.289,0,0,1,1,0.954822,1,1.0,0.954822,False
ORDERS.5,orders_df.5,0,0,1,1,0.954803,1,1.0,0.954803,False
ORDERS.392,orders_df.392,0,0,1,1,0.954778,1,1.0,0.954778,False
ORDERS.34,orders_df.34,0,0,1,1,0.954763,1,1.0,0.954763,False
ORDERS.102,orders_df.102,0,0,1,1,0.954762,1,1.0,0.954762,False
ORDERS.184,orders_df.184,0,0,1,1,0.954756,1,1.0,0.954756,False
ORDERS.313,orders_df.313,0,0,4,2,0.954727,2,1.0,0.954727,False
ORDERS.28,orders_df.28,0,0,1,1,0.954717,1,1.0,0.954717,False
ORDERS.14,orders_df.14,0,0,1,1,0.954698,1,1.0,0.954698,False
ORDERS.31,orders_df.31,0,0,4,2,0.954685,2,1.0,0.954685,False
ORDERS.29,orders_df.29,0,0,1,1,0.954683,1,1.0,0.954683,False
ORDERS.73,orders_df.73,0,0,1,1,0.954672,1,1.0,0.954672,False
ORDERS.67,orders_df.67,0,0,1,1,0.954648,1,1.0,0.954648,False
ORDERS.379,orders_df.379,0,0,1,1,0.954638,1,1.0,0.954638,False
ORDERS.339,orders_df.339,0,0,1,1,0.95462,1,1.0,0.95462,False
ORDERS.0,orders_df.0,0,0,1,1,0.954608,1,1.0,0.954608,False
ORDERS.416,orders_df.416,0,0,1,1,0.954606,1,1.0,0.954606,False
ORDERS.23,orders_df.23,0,0,1,1,0.954606,1,1.0,0.954606,False
ORDERS.20,orders_df.20,0,0,1,1,0.95459,1,1.0,0.95459,False
ORDERS.10,orders_df.10,0,0,1,1,0.954583,1,1.0,0.954583,False
ORDERS.134,orders_df.134,0,0,1,1,0.954579,1,1.0,0.954579,False
ORDERS.170,orders_df.170,0,0,1,1,0.954559,1,1.0,0.954559,False
ORDERS.264,orders_df.264,0,0,1,1,0.954539,1,1.0,0.954539,False
ORDERS.111,orders_df.111,0,0,1,1,0.954528,1,1.0,0.954528,False
ORDERS.362,orders_df.362,0,0,1,1,0.954508,1,1.0,0.954508,False
