table,domain_id,domain_name
INVENTORY,0,Inventory and Product Data Management
inv_df,0,Inventory and Product Data Management
PRODUCTS,1,Product Information Management
prod_df,1,Product Information Management
CUST_HIST,2,Customer Order Data Management
ORDERS,2,Customer Order Data Management
custhist_df,2,Customer Order Data Management
orders_df,2,Customer Order Data Management
ORDERLINES,3,Order Data Management
orderlines_df,3,Order Data Management
CUSTOMER,4,Customer Identity and Access Management
cust_df,4,Customer Identity and Access Management
