table_i,table_j,n_cols_i,n_cols_j,n_cross_pairs,n_matches,raw_sim,M_max,CR,Sim_T,norm_changed
CustomerCategories,Customers,5,31,155,5,0.929661,5,1.0,0.929661,False
SupplierCategories,Suppliers,5,29,145,5,0.928631,5,1.0,0.928631,False
CustomerTransactions,SupplierTransactions,14,15,210,14,0.914008,14,1.0,0.914008,False
DeliveryMethods,Suppliers,5,29,145,5,0.910692,5,1.0,0.910692,False
Customers,DeliveryMethods,31,5,155,5,0.910329,5,1.0,0.910329,False
CustomerCategories,SupplierCategories,5,5,25,5,0.910208,5,1.0,0.910208,False
Colors,StockItems,5,25,125,5,0.89172,5,1.0,0.89172,False
BuyingGroups,Customers,5,31,155,5,0.891259,5,1.0,0.891259,False
SpecialDeals,StockItemStockGroups,14,5,70,5,0.876918,5,1.0,0.876918,False
StockGroups,StockItems,5,25,125,5,0.865035,5,1.0,0.865035,False
DeliveryMethods,PaymentMethods,5,5,25,5,0.858761,5,1.0,0.858761,False
Customers,SystemParameters,31,13,403,13,0.857908,13,1.0,0.857908,False
Suppliers,SystemParameters,29,13,377,13,0.847952,13,1.0,0.847952,False
BuyingGroups,StockGroups,5,5,25,5,0.847804,5,1.0,0.847804,False
Colors,Customers,5,31,155,5,0.841973,5,1.0,0.841973,False
Customers,SupplierCategories,31,5,155,5,0.839881,5,1.0,0.839881,False
CustomerCategories,Suppliers,5,29,145,5,0.838967,5,1.0,0.838967,False
Colors,People,5,21,105,5,0.833676,5,1.0,0.833676,False
PaymentMethods,Suppliers,5,29,145,5,0.830994,5,1.0,0.830994,False
Customers,PaymentMethods,31,5,155,5,0.830351,5,1.0,0.830351,False
PackageTypes,TransactionTypes,5,5,25,5,0.826179,5,1.0,0.826179,False
Cities,Colors,8,5,40,5,0.825501,5,1.0,0.825501,False
Invoices,Orders,25,16,400,16,0.823632,16,1.0,0.823632,False
Customers,Suppliers,31,29,899,29,0.810901,29,1.0,0.810901,False
StockItems,SupplierCategories,25,5,125,5,0.810391,5,1.0,0.810391,False
Colors,Suppliers,5,29,145,5,0.809707,5,1.0,0.809707,False
Customers,StockGroups,31,5,155,5,0.809116,5,1.0,0.809116,False
StateProvinces,StockGroups,10,5,50,5,0.805824,5,1.0,0.805824,False
Colors,StateProvinces,5,10,50,5,0.800786,5,1.0,0.800786,False
InvoiceLines,OrderLines,13,12,156,12,0.795362,12,1.0,0.795362,False
PaymentMethods,People,5,21,105,5,0.792579,5,1.0,0.792579,False
Orders,PurchaseOrders,16,12,192,12,0.791605,12,1.0,0.791605,False
PackageTypes,StockItems,5,25,125,5,0.790164,5,1.0,0.790164,False
CustomerCategories,StockItems,5,25,125,5,0.789914,5,1.0,0.789914,False
Colors,StockGroups,5,5,25,5,0.789522,5,1.0,0.789522,False
Cities,StateProvinces,8,10,80,8,0.788726,8,1.0,0.788726,False
StockItemStockGroups,StockItemTransactions,5,11,55,5,0.787416,5,1.0,0.787416,False
DeliveryMethods,People,5,21,105,5,0.785216,5,1.0,0.785216,False
Colors,CustomerCategories,5,5,25,5,0.784665,5,1.0,0.784665,False
DeliveryMethods,SupplierCategories,5,5,25,5,0.78466,5,1.0,0.78466,False
PackageTypes,PaymentMethods,5,5,25,5,0.782695,5,1.0,0.782695,False
Suppliers,TransactionTypes,29,5,145,5,0.782104,5,1.0,0.782104,False
CustomerCategories,People,5,21,105,5,0.781445,5,1.0,0.781445,False
PackageTypes,Suppliers,5,29,145,5,0.780224,5,1.0,0.780224,False
BuyingGroups,Suppliers,5,29,145,5,0.77786,5,1.0,0.77786,False
PackageTypes,People,5,21,105,5,0.77742,5,1.0,0.77742,False
PackageTypes,StockGroups,5,5,25,5,0.777021,5,1.0,0.777021,False
Invoices,PurchaseOrders,25,12,300,12,0.776019,12,1.0,0.776019,False
Cities,StockGroups,8,5,40,5,0.7746,5,1.0,0.7746,False
Customers,TransactionTypes,31,5,155,5,0.774174,5,1.0,0.774174,False
StateProvinces,SupplierCategories,10,5,50,5,0.77405,5,1.0,0.77405,False
CustomerCategories,StateProvinces,5,10,50,5,0.773453,5,1.0,0.773453,False
People,StockGroups,21,5,105,5,0.771951,5,1.0,0.771951,False
StockGroups,Suppliers,5,29,145,5,0.771912,5,1.0,0.771912,False
StateProvinces,TransactionTypes,10,5,50,5,0.77045,5,1.0,0.77045,False
CustomerCategories,StockGroups,5,5,25,5,0.766721,5,1.0,0.766721,False
CustomerCategories,DeliveryMethods,5,5,25,5,0.766657,5,1.0,0.766657,False
StockGroups,SupplierCategories,5,5,25,5,0.766651,5,1.0,0.766651,False
Colors,SupplierCategories,5,5,25,5,0.76665,5,1.0,0.76665,False
CustomerCategories,PaymentMethods,5,5,25,5,0.766033,5,1.0,0.766033,False
Cities,CustomerCategories,8,5,40,5,0.764923,5,1.0,0.764923,False
Cities,SupplierCategories,8,5,40,5,0.764854,5,1.0,0.764854,False
Customers,PackageTypes,31,5,155,5,0.763596,5,1.0,0.763596,False
People,SupplierCategories,21,5,105,5,0.763254,5,1.0,0.763254,False
BuyingGroups,People,5,21,105,5,0.761894,5,1.0,0.761894,False
Cities,TransactionTypes,8,5,40,5,0.761707,5,1.0,0.761707,False
PaymentMethods,StockItems,5,25,125,5,0.761227,5,1.0,0.761227,False
