table_i,table_j,Sim_T
CustomerCategories,Customers,0.929661
SupplierCategories,Suppliers,0.928631
CustomerTransactions,SupplierTransactions,0.914008
DeliveryMethods,Suppliers,0.910692
Customers,DeliveryMethods,0.910329
CustomerCategories,SupplierCategories,0.910208
Colors,StockItems,0.89172
BuyingGroups,Customers,0.891259
SpecialDeals,StockItemStockGroups,0.876918
StockGroups,StockItems,0.865035
DeliveryMethods,PaymentMethods,0.858761
Customers,SystemParameters,0.857908
Suppliers,SystemParameters,0.847952
BuyingGroups,StockGroups,0.847804
Colors,Customers,0.841973
Customers,SupplierCategories,0.839881
CustomerCategories,Suppliers,0.838967
Colors,People,0.833676
PaymentMethods,Suppliers,0.830994
Customers,PaymentMethods,0.830351
PackageTypes,TransactionTypes,0.826179
Cities,Colors,0.825501
Invoices,Orders,0.823632
Customers,Suppliers,0.810901
StockItems,SupplierCategories,0.810391
Colors,Suppliers,0.809707
Customers,StockGroups,0.809116
StateProvinces,StockGroups,0.805824
Colors,StateProvinces,0.800786
InvoiceLines,OrderLines,0.795362
PaymentMethods,People,0.792579
Orders,PurchaseOrders,0.791605
PackageTypes,StockItems,0.790164
CustomerCategories,StockItems,0.789914
Colors,StockGroups,0.789522
Cities,StateProvinces,0.788726
StockItemStockGroups,StockItemTransactions,0.787416
DeliveryMethods,People,0.785216
Colors,CustomerCategories,0.784665
DeliveryMethods,SupplierCategories,0.78466
PackageTypes,PaymentMethods,0.782695
Suppliers,TransactionTypes,0.782104
CustomerCategories,People,0.781445
PackageTypes,Suppliers,0.780224
BuyingGroups,Suppliers,0.77786
PackageTypes,People,0.77742
PackageTypes,StockGroups,0.777021
Invoices,PurchaseOrders,0.776019
Cities,StockGroups,0.7746
Customers,TransactionTypes,0.774174
StateProvinces,SupplierCategories,0.77405
CustomerCategories,StateProvinces,0.773453
People,StockGroups,0.771951
StockGroups,Suppliers,0.771912
StateProvinces,TransactionTypes,0.77045
CustomerCategories,StockGroups,0.766721
CustomerCategories,DeliveryMethods,0.766657
StockGroups,SupplierCategories,0.766651
Colors,SupplierCategories,0.76665
CustomerCategories,PaymentMethods,0.766033
Cities,CustomerCategories,0.764923
Cities,SupplierCategories,0.764854
Customers,PackageTypes,0.763596
People,SupplierCategories,0.763254
BuyingGroups,People,0.761894
Cities,TransactionTypes,0.761707
PaymentMethods,StockItems,0.761227
BuyingGroups,CustomerCategories,0.760988
BuyingGroups,SupplierCategories,0.760928
BuyingGroups,PaymentMethods,0.760285
People,TransactionTypes,0.760282
PackageTypes,StateProvinces,0.760104
StockItems,TransactionTypes,0.759961
Colors,DeliveryMethods,0.759101
Cities,DeliveryMethods,0.757302
Cities,PackageTypes,0.756975
DeliveryMethods,PackageTypes,0.755816
BuyingGroups,StateProvinces,0.755037
StockGroups,TransactionTypes,0.753675
StockItemHoldings,StockItemStockGroups,0.753453
BuyingGroups,PackageTypes,0.753445
PaymentMethods,TransactionTypes,0.752986
BuyingGroups,StockItems,0.75222
PaymentMethods,StateProvinces,0.751582
BuyingGroups,Colors,0.750162
