col_i,col_j,table_i,table_j,P_stat,P_stat_norm,P_name,P_sem,Sim_attr,weight
Cities.ValidTo,SupplierCategories.ValidTo,Cities,SupplierCategories,0.0,0.0,1.0,0.042724,1.0,1.0
ColdRoomTemperatures.ValidTo,PaymentMethods.ValidTo,ColdRoomTemperatures,PaymentMethods,0.0,0.0,1.0,0.037932,1.0,1.0
ColdRoomTemperatures.ValidTo,Suppliers.ValidTo,ColdRoomTemperatures,Suppliers,0.0,0.0,1.0,0.028308,1.0,1.0
People.PhoneNumber,Suppliers.PhoneNumber,People,Suppliers,0.0,0.0,1.0,0.067036,1.0,1.0
ColdRoomTemperatures.ValidTo,SupplierCategories.ValidTo,ColdRoomTemperatures,SupplierCategories,0.0,0.0,1.0,0.033069,1.0,1.0
ColdRoomTemperatures.ValidTo,StockItems.ValidTo,ColdRoomTemperatures,StockItems,0.0,0.0,1.0,0.028143,1.0,1.0
ColdRoomTemperatures.ValidTo,StockGroups.ValidTo,ColdRoomTemperatures,StockGroups,0.0,0.0,1.0,0.031409,1.0,1.0
ColdRoomTemperatures.ValidTo,StateProvinces.ValidTo,ColdRoomTemperatures,StateProvinces,0.0,0.0,1.0,0.028622,1.0,1.0
ColdRoomTemperatures.ValidTo,People.ValidTo,ColdRoomTemperatures,People,0.0,0.0,1.0,0.03718,1.0,1.0
CustomerTransactions.FinalizationDate,SupplierTransactions.FinalizationDate,CustomerTransactions,SupplierTransactions,0.0,0.0,1.0,0.058322,1.0,1.0
StockGroups.LastEditedBy,TransactionTypes.LastEditedBy,StockGroups,TransactionTypes,0.0,0.0,1.0,0.057869,1.0,1.0
ColdRoomTemperatures.ValidTo,TransactionTypes.ValidTo,ColdRoomTemperatures,TransactionTypes,0.0,0.0,1.0,0.039351,1.0,1.0
ColdRoomTemperatures.ValidTo,PackageTypes.ValidTo,ColdRoomTemperatures,PackageTypes,0.0,0.0,1.0,0.032142,1.0,1.0
PaymentMethods.ValidTo,TransactionTypes.ValidTo,PaymentMethods,TransactionTypes,0.0,0.0,1.0,0.051551,1.0,1.0
ColdRoomTemperatures.ValidTo,DeliveryMethods.ValidTo,ColdRoomTemperatures,DeliveryMethods,0.0,0.0,1.0,0.031279,1.0,1.0
