CityID,CityName,StateProvinceID,Location,LatestRecordedPopulation,LastEditedBy,ValidFrom,ValidTo
1,Aaronsburg,39,POINT (-77.4533235 40.8997903),613,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
3,Abanda,1,POINT (-85.5296753 33.100954),192,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
4,Abbeville,42,POINT (-82.3790148 34.1781719),5237,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
5,Abbeville,11,POINT (-83.3068243 31.9921223),2908,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
6,Abbeville,1,POINT (-85.2504893 31.5718352),2688,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
7,Abbeville,19,POINT (-92.1342921 29.9746502),12257,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
8,Abbeville,25,POINT (-89.5031368 34.5031591),419,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
9,Abbotsford,52,POINT (-90.315969 44.946356),2310,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
10,Abbott,45,POINT (-97.0733361 31.8848809),356,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
11,Abbott,4,POINT (-94.1938205 35.0734293),356,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
12,Abbott,32,POINT (-104.2588701 36.3055851),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
13,Abbott,49,POINT (-80.1394911 37.4292967),356,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
14,Abbott,51,POINT (-80.3214735 38.9217656),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
15,Abbottsburg,34,POINT (-78.7250179 34.517114),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
16,Abbottstown,39,POINT (-76.9847013 39.8864869),1011,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
17,Abbyville,17,POINT (-98.2042299 37.9708468),87,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
18,Abell,45,POINT (-101.458781 35.3933811),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
19,Abercrombie,35,POINT (-96.7303557 46.4477384),263,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
20,Aberdeen,43,POINT (-98.4864829 45.4646985),26091,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
21,Aberdeen,21,POINT (-76.1641197 39.5095556),14959,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
22,Aberdeen,50,POINT (-123.8157218 46.9753708),16896,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
23,Aberdeen,13,POINT (-112.8383265 42.9440784),1994,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
24,Aberdeen,34,POINT (-79.4294789 35.131547),6350,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
25,Aberdeen,25,POINT (-88.5436553 33.8251139),5612,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
26,Aberdeen,36,POINT (-83.7610323 38.6556296),1638,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
27,Aberdeen,18,POINT (-86.6816547 37.2539361),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
