,customer.c_custkey,customer.c_name,customer.c_address,customer.c_nationkey,customer.c_phone,customer.c_acctbal,customer.c_mktsegment,customer.c_comment,lineitem.l_orderkey,lineitem.l_partkey,lineitem.l_suppkey,lineitem.l_linenumber,lineitem.l_quantity,lineitem.l_extendedprice,lineitem.l_discount,lineitem.l_tax,lineitem.l_returnflag,lineitem.l_linestatus,lineitem.l_shipdate,lineitem.l_commitdate,lineitem.l_receiptdate,lineitem.l_shipinstruct,lineitem.l_shipmode,lineitem.l_comment,nation.n_nationkey,nation.n_name,nation.n_regionkey,nation.n_comment,orders.o_orderkey,orders.o_custkey,orders.o_orderstatus,orders.o_totalprice,orders.o_orderdate,orders.o_orderpriority,orders.o_clerk,orders.o_shippriority,orders.o_comment,part.p_partkey,part.p_name,part.p_mfgr,part.p_brand,part.p_type,part.p_size,part.p_container,part.p_retailprice,part.p_comment,partsupp.ps_partkey,partsupp.ps_suppkey,partsupp.ps_availqty,partsupp.ps_supplycost,partsupp.ps_comment,region.r_regionkey,region.r_name,region.r_comment,supplier.s_suppkey,supplier.s_name,supplier.s_address,supplier.s_nationkey,supplier.s_phone,supplier.s_acctbal,supplier.s_comment
customer.c_custkey,1.000000,0.333333,0.222222,0.454545,0.333333,0.333333,0.333333,0.333333,0.400000,0.555556,0.555556,0.166667,0.400000,0.133333,0.200000,0.222222,0.166667,0.250000,0.100000,0.250000,0.230769,0.214286,0.100000,0.222222,0.363636,0.222222,0.363636,0.222222,0.400000,0.888889,0.230769,0.083333,0.090909,0.133333,0.333333,0.142857,0.222222,0.555556,0.222222,0.111111,0.111111,0.222222,0.333333,0.363636,0.076923,0.222222,0.500000,0.500000,0.181818,0.153846,0.200000,0.363636,0.222222,0.222222,0.555556,0.222222,0.111111,0.363636,0.222222,0.222222,0.222222
customer.c_name,0.333333,1.000000,0.333333,0.454545,0.428571,0.222222,0.333333,0.444444,0.200000,0.333333,0.222222,0.333333,0.200000,0.200000,0.100000,0.333333,0.166667,0.250000,0.300000,0.250000,0.230769,0.142857,0.300000,0.333333,0.363636,0.833333,0.181818,0.333333,0.200000,0.222222,0.153846,0.250000,0.272727,0.133333,0.142857,0.071429,0.333333,0.333333,0.833333,0.166667,0.285714,0.333333,0.333333,0.363636,0.230769,0.333333,0.300000,0.200000,0.181818,0.076923,0.300000,0.181818,0.833333,0.333333,0.222222,0.833333,0.222222,0.363636,0.285714,0.111111,0.333333
customer.c_address,0.222222,0.333333,1.000000,0.272727,0.333333,0.333333,0.250000,0.333333,0.300000,0.222222,0.111111,0.083333,0.100000,0.266667,0.100000,0.111111,0.166667,0.250000,0.100000,0.083333,0.076923,0.142857,0.100000,0.222222,0.181818,0.222222,0.090909,0.222222,0.300000,0.111111,0.307692,0.250000,0.272727,0.200000,0.222222,0.142857,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.090909,0.230769,0.222222,0.200000,0.100000,0.181818,0.153846,0.200000,0.090909,0.222222,0.222222,0.111111,0.222222,0.888889,0.181818,0.222222,0.222222,0.222222
customer.c_nationkey,0.454545,0.454545,0.272727,1.000000,0.454545,0.272727,0.333333,0.272727,0.363636,0.454545,0.363636,0.166667,0.272727,0.200000,0.181818,0.181818,0.250000,0.083333,0.181818,0.166667,0.153846,0.142857,0.181818,0.181818,0.909091,0.363636,0.636364,0.181818,0.363636,0.363636,0.076923,0.166667,0.090909,0.266667,0.181818,0.285714,0.181818,0.454545,0.363636,0.090909,0.181818,0.272727,0.272727,0.272727,0.230769,0.181818,0.363636,0.272727,0.181818,0.076923,0.090909,0.636364,0.363636,0.181818,0.363636,0.363636,0.181818,0.909091,0.363636,0.181818,0.181818
customer.c_phone,0.333333,0.428571,0.333333,0.454545,1.000000,0.222222,0.250000,0.333333,0.200000,0.333333,0.222222,0.250000,0.200000,0.200000,0.300000,0.142857,0.166667,0.166667,0.300000,0.166667,0.230769,0.214286,0.400000,0.222222,0.363636,0.285714,0.363636,0.222222,0.200000,0.222222,0.076923,0.250000,0.181818,0.200000,0.142857,0.214286,0.222222,0.333333,0.285714,0.142857,0.285714,0.285714,0.285714,0.272727,0.230769,0.222222,0.300000,0.200000,0.090909,0.230769,0.200000,0.363636,0.285714,0.222222,0.222222,0.285714,0.222222,0.363636,0.857143,0.111111,0.222222
customer.c_acctbal,0.333333,0.222222,0.333333,0.272727,0.222222,1.000000,0.166667,0.222222,0.100000,0.222222,0.111111,0.166667,0.200000,0.066667,0.200000,0.333333,0.166667,0.166667,0.200000,0.250000,0.307692,0.142857,0.100000,0.111111,0.181818,0.111111,0.090909,0.111111,0.100000,0.222222,0.153846,0.166667,0.181818,0.066667,0.222222,0.071429,0.111111,0.222222,0.111111,0.111111,0.111111,0.222222,0.111111,0.181818,0.153846,0.111111,0.200000,0.100000,0.181818,0.076923,0.100000,0.090909,0.111111,0.111111,0.111111,0.111111,0.222222,0.181818,0.111111,0.888889,0.111111
customer.c_mktsegment,0.333333,0.333333,0.250000,0.333333,0.250000,0.166667,1.000000,0.500000,0.250000,0.166667,0.166667,0.166667,0.083333,0.200000,0.333333,0.166667,0.166667,0.083333,0.166667,0.083333,0.153846,0.142857,0.166667,0.416667,0.250000,0.250000,0.166667,0.416667,0.250000,0.250000,0.153846,0.166667,0.166667,0.133333,0.166667,0.142857,0.416667,0.166667,0.250000,0.250000,0.166667,0.250000,0.250000,0.166667,0.153846,0.416667,0.083333,0.083333,0.000000,0.153846,0.333333,0.166667,0.250000,0.416667,0.166667,0.250000,0.166667,0.250000,0.166667,0.083333,0.416667
customer.c_comment,0.333333,0.444444,0.333333,0.272727,0.333333,0.222222,0.500000,1.000000,0.200000,0.111111,0.111111,0.166667,0.200000,0.133333,0.300000,0.111111,0.166667,0.166667,0.200000,0.500000,0.230769,0.214286,0.200000,0.888889,0.181818,0.333333,0.181818,0.888889,0.200000,0.222222,0.230769,0.166667,0.272727,0.200000,0.333333,0.142857,0.888889,0.111111,0.333333,0.222222,0.222222,0.222222,0.222222,0.363636,0.076923,0.888889,0.100000,0.100000,0.181818,0.153846,0.800000,0.181818,0.333333,0.888889,0.111111,0.333333,0.222222,0.181818,0.222222,0.111111,0.888889
lineitem.l_orderkey,0.400000,0.200000,0.300000,0.363636,0.200000,0.100000,0.250000,0.200000,1.000000,0.500000,0.500000,0.333333,0.300000,0.333333,0.200000,0.200000,0.250000,0.250000,0.200000,0.250000,0.230769,0.214286,0.200000,0.300000,0.363636,0.200000,0.363636,0.200000,0.900000,0.400000,0.461538,0.250000,0.545455,0.466667,0.400000,0.285714,0.200000,0.400000,0.200000,0.200000,0.200000,0.200000,0.200000,0.272727,0.153846,0.200000,0.300000,0.300000,0.181818,0.076923,0.100000,0.363636,0.200000,0.200000,0.400000,0.200000,0.300000,0.363636,0.200000,0.100000,0.200000
lineitem.l_partkey,0.555556,0.333333,0.222222,0.454545,0.333333,0.222222,0.166667,0.111111,0.500000,1.000000,0.555556,0.250000,0.500000,0.200000,0.200000,0.333333,0.250000,0.250000,0.300000,0.250000,0.230769,0.285714,0.200000,0.222222,0.454545,0.333333,0.363636,0.111111,0.400000,0.555556,0.230769,0.250000,0.181818,0.200000,0.222222,0.285714,0.111111,0.888889,0.333333,0.111111,0.222222,0.222222,0.222222,0.272727,0.230769,0.111111,0.800000,0.400000,0.272727,0.153846,0.100000,0.363636,0.333333,0.111111,0.444444,0.333333,0.222222,0.454545,0.333333,0.222222,0.111111
