,customer.c_custkey,customer.c_name,customer.c_address,customer.c_nationkey,customer.c_phone,customer.c_acctbal,customer.c_mktsegment,customer.c_comment,lineitem.l_orderkey,lineitem.l_partkey,lineitem.l_suppkey,lineitem.l_linenumber,lineitem.l_quantity,lineitem.l_extendedprice,lineitem.l_discount,lineitem.l_tax,lineitem.l_returnflag,lineitem.l_linestatus,lineitem.l_shipdate,lineitem.l_commitdate,lineitem.l_receiptdate,lineitem.l_shipinstruct,lineitem.l_shipmode,lineitem.l_comment,nation.n_nationkey,nation.n_name,nation.n_regionkey,nation.n_comment,orders.o_orderkey,orders.o_custkey,orders.o_orderstatus,orders.o_totalprice,orders.o_orderdate,orders.o_orderpriority,orders.o_clerk,orders.o_shippriority,orders.o_comment,part.p_partkey,part.p_name,part.p_mfgr,part.p_brand,part.p_type,part.p_size,part.p_container,part.p_retailprice,part.p_comment,partsupp.ps_partkey,partsupp.ps_suppkey,partsupp.ps_availqty,partsupp.ps_supplycost,partsupp.ps_comment,region.r_regionkey,region.r_name,region.r_comment,supplier.s_suppkey,supplier.s_name,supplier.s_address,supplier.s_nationkey,supplier.s_phone,supplier.s_acctbal,supplier.s_comment
customer.c_custkey,0.000000,0.225960,0.201946,0.093027,0.237217,0.238771,0.277590,0.538600,0.000000,0.117181,0.004905,0.000000,0.014703,0.416793,0.039465,0.047702,0.722892,1.089918,0.272169,0.272169,0.272169,0.372053,0.303869,0.198925,0.069301,0.290289,0.069301,0.605329,0.000000,0.013638,0.722892,1.550326,0.272169,0.265645,0.237217,1.864287,0.397049,0.000000,0.247778,0.244208,0.286150,0.202778,0.036806,0.285425,0.148875,0.225685,0.000000,0.126181,0.092936,0.008465,1.075021,0.069301,0.284993,0.600967,0.000000,0.225960,0.178726,0.041882,0.237217,0.068237,0.305003
customer.c_name,0.225960,0.000000,0.091023,0.260835,0.020971,0.317271,0.068636,0.437192,0.225960,0.266380,0.229515,0.225960,0.240193,0.468580,0.207402,0.215639,0.608482,0.975509,0.055923,0.055923,0.055923,0.316999,0.104880,0.082994,0.237238,0.089683,0.237238,0.503922,0.225960,0.212322,0.608482,1.566229,0.055923,0.089738,0.020971,1.749877,0.295641,0.225960,0.126184,0.027961,0.069904,0.023182,0.204540,0.082625,0.353321,0.034671,0.225960,0.293214,0.187960,0.218346,0.973614,0.237238,0.095441,0.499559,0.225960,0.000000,0.084346,0.209660,0.020971,0.162181,0.203596
customer.c_address,0.201946,0.091023,0.000000,0.236821,0.090913,0.293257,0.103177,0.395358,0.201946,0.242366,0.205500,0.201946,0.216179,0.444566,0.183388,0.191625,0.650316,1.017343,0.097757,0.097757,0.097757,0.299477,0.129457,0.083217,0.213224,0.115876,0.213224,0.462088,0.201946,0.188308,0.650316,1.542214,0.097757,0.091232,0.090913,1.791711,0.253807,0.201946,0.132070,0.090877,0.111738,0.071921,0.180525,0.111012,0.329307,0.065327,0.201946,0.269200,0.163946,0.194332,0.931780,0.213224,0.110580,0.457725,0.201946,0.091023,0.047973,0.185645,0.090913,0.138167,0.161762
customer.c_nationkey,0.093027,0.260835,0.236821,0.000000,0.272092,0.145744,0.312464,0.573474,0.093027,0.024154,0.097803,0.093027,0.107600,0.493311,0.053634,0.045398,0.757767,1.124793,0.307044,0.307044,0.307044,0.406927,0.338744,0.233799,0.023749,0.325163,0.023749,0.640204,0.093027,0.100958,0.757767,1.590960,0.307044,0.300519,0.272092,1.899162,0.431923,0.093027,0.282653,0.279082,0.321025,0.237653,0.056295,0.320299,0.241850,0.260560,0.093027,0.033154,0.185834,0.101362,1.109895,0.023749,0.319868,0.635841,0.093027,0.260835,0.213601,0.051175,0.272092,0.107185,0.339878
customer.c_phone,0.237217,0.020971,0.090913,0.272092,0.000000,0.328528,0.047665,0.458163,0.237217,0.277637,0.240772,0.237217,0.251450,0.479837,0.218659,0.226896,0.587511,0.954538,0.034952,0.034952,0.034952,0.301776,0.083909,0.103965,0.248495,0.068712,0.248495,0.524893,0.237217,0.223580,0.587511,1.577486,0.034952,0.068767,0.000000,1.728906,0.316612,0.237217,0.147155,0.006990,0.048933,0.044153,0.215797,0.061654,0.364578,0.025587,0.237217,0.304471,0.199217,0.229603,0.994585,0.248495,0.074470,0.520530,0.237217,0.020971,0.098290,0.220917,0.000000,0.173438,0.224567
customer.c_acctbal,0.238771,0.317271,0.293257,0.145744,0.328528,0.000000,0.368900,0.629910,0.238771,0.121590,0.242325,0.238771,0.253004,0.549747,0.199379,0.191142,0.814203,1.181229,0.363480,0.363480,0.363480,0.463363,0.395180,0.290235,0.169494,0.381599,0.169494,0.696640,0.238771,0.229020,0.814203,1.647396,0.363480,0.356955,0.328528,1.955598,0.488359,0.238771,0.339089,0.335518,0.377461,0.294089,0.201965,0.376735,0.378329,0.316996,0.238771,0.112590,0.252493,0.234529,1.166331,0.169494,0.376304,0.692277,0.238771,0.317271,0.270037,0.196889,0.328528,0.181708,0.396314
customer.c_mktsegment,0.277590,0.068636,0.103177,0.312464,0.047665,0.368900,0.000000,0.498536,0.277590,0.318009,0.281144,0.277590,0.291822,0.520210,0.259032,0.267269,0.547139,0.914165,0.012713,0.012713,0.012713,0.280721,0.036244,0.144338,0.288868,0.021047,0.288868,0.565265,0.277590,0.263952,0.547139,1.617858,0.012713,0.035474,0.047665,1.688534,0.356985,0.277590,0.187527,0.040674,0.008560,0.084525,0.256169,0.013989,0.404951,0.051905,0.277590,0.344843,0.239590,0.269976,1.034957,0.288868,0.029680,0.560903,0.277590,0.068636,0.138662,0.261289,0.047665,0.213811,0.264940
customer.c_comment,0.538600,0.437192,0.395358,0.573474,0.458163,0.629910,0.498536,0.000000,0.538600,0.579019,0.542154,0.538600,0.552832,0.781219,0.520042,0.528279,1.045675,1.412701,0.493115,0.493115,0.493115,0.694835,0.524815,0.354198,0.549878,0.511235,0.549878,0.066729,0.538600,0.524962,1.045675,1.878868,0.493115,0.486591,0.458163,2.187070,0.141551,0.538600,0.311008,0.465154,0.507096,0.414011,0.517179,0.506371,0.665961,0.446631,0.538600,0.605853,0.500600,0.530986,0.536421,0.549878,0.505939,0.188854,0.538600,0.437192,0.359874,0.522299,0.458163,0.474821,0.233596
lineitem.l_orderkey,0.000000,0.225960,0.201946,0.093027,0.237217,0.238771,0.277590,0.538600,0.000000,0.117181,0.004905,0.000000,0.014703,0.416793,0.039465,0.047702,0.722892,1.089918,0.272169,0.272169,0.272169,0.372053,0.303869,0.198925,0.069301,0.290289,0.069301,0.605329,0.000000,0.013638,0.722892,1.550326,0.272169,0.265645,0.237217,1.864287,0.397049,0.000000,0.247778,0.244208,0.286150,0.202778,0.036806,0.285425,0.148875,0.225685,0.000000,0.126181,0.092936,0.008465,1.075021,0.069301,0.284993,0.600967,0.000000,0.225960,0.178726,0.041882,0.237217,0.068237,0.305003
lineitem.l_partkey,0.117181,0.266380,0.242366,0.024154,0.277637,0.121590,0.318009,0.579019,0.117181,0.000000,0.120751,0.117181,0.131414,0.498856,0.077789,0.069552,0.763312,1.130338,0.312589,0.312589,0.312589,0.412472,0.344289,0.239344,0.047904,0.330708,0.047904,0.645749,0.117181,0.110125,0.763312,1.596505,0.312589,0.306064,0.277637,1.904707,0.437468,0.117181,0.288198,0.284627,0.326570,0.243198,0.080375,0.325844,0.259768,0.266105,0.117181,0.026834,0.191379,0.114498,1.115440,0.047904,0.325413,0.641386,0.117181,0.266380,0.219146,0.075299,0.277637,0.113058,0.345423
lineitem.l_suppkey,0.004905,0.229515,0.205500,0.097803,0.240772,0.242325,0.281144,0.542154,0.004905,0.120751,0.000000,0.004905,0.010678,0.420347,0.044370,0.052607,0.726446,1.093473,0.275724,0.275724,0.275724,0.375607,0.307424,0.202479,0.074206,0.293843,0.074206,0.608883,0.004905,0.017192,0.726446,1.553880,0.275724,0.269199,0.240772,1.867841,0.400603,0.004905,0.251332,0.247762,0.289704,0.206333,0.041507,0.288979,0.144438,0.229239,0.004905,0.130234,0.088031,0.011168,1.078575,0.074206,0.288547,0.604521,0.004905,0.229515,0.182280,0.046627,0.240772,0.072135,0.308558
lineitem.l_linenumber,0.000000,0.225960,0.201946,0.093027,0.237217,0.238771,0.277590,0.538600,0.000000,0.117181,0.004905,0.000000,0.014703,0.416793,0.039465,0.047702,0.722892,1.089918,0.272169,0.272169,0.272169,0.372053,0.303869,0.198925,0.069301,0.290289,0.069301,0.605329,0.000000,0.013638,0.722892,1.550326,0.272169,0.265645,0.237217,1.864287,0.397049,0.000000,0.247778,0.244208,0.286150,0.202778,0.036806,0.285425,0.148875,0.225685,0.000000,0.126181,0.092936,0.008465,1.075021,0.069301,0.284993,0.600967,0.000000,0.225960,0.178726,0.041882,0.237217,0.068237,0.305003
