col_i,col_j,table_i,table_j,domain_i,domain_j,type_i,type_j,P_stat,P_name,P_sem,same_domain
customer.c_custkey,customer.c_name,customer,customer,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.","Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",numeric,nominal,0.22596,0.333333,0.157642,1
customer.c_custkey,customer.c_address,customer,customer,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.","Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",numeric,nominal,0.201946,0.222222,0.125782,1
customer.c_custkey,customer.c_nationkey,customer,customer,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.","Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",numeric,numeric,0.093027,0.454545,0.164645,1
customer.c_custkey,customer.c_phone,customer,customer,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.","Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",numeric,nominal,0.237217,0.333333,0.136544,1
customer.c_custkey,customer.c_acctbal,customer,customer,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.","Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",numeric,numeric,0.238771,0.333333,0.145523,1
customer.c_custkey,customer.c_mktsegment,customer,customer,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.","Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",numeric,nominal,0.27759,0.333333,0.194204,1
customer.c_custkey,customer.c_comment,customer,customer,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.","Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",numeric,nominal,0.5386,0.333333,0.128326,1
customer.c_custkey,lineitem.l_orderkey,customer,lineitem,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",Tracks detailed sales transactions for each order line item in a large retail environment.,numeric,numeric,0.0,0.4,0.114385,0
customer.c_custkey,lineitem.l_partkey,customer,lineitem,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",Tracks detailed sales transactions for each order line item in a large retail environment.,numeric,numeric,0.117181,0.555556,0.110405,0
customer.c_custkey,lineitem.l_suppkey,customer,lineitem,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",Tracks detailed sales transactions for each order line item in a large retail environment.,numeric,numeric,0.004905,0.555556,0.115968,0
customer.c_custkey,lineitem.l_linenumber,customer,lineitem,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",Tracks detailed sales transactions for each order line item in a large retail environment.,numeric,numeric,0.0,0.166667,0.105014,0
customer.c_custkey,lineitem.l_quantity,customer,lineitem,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",Tracks detailed sales transactions for each order line item in a large retail environment.,numeric,numeric,0.014703,0.4,0.110648,0
customer.c_custkey,lineitem.l_extendedprice,customer,lineitem,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",Tracks detailed sales transactions for each order line item in a large retail environment.,numeric,numeric,0.416793,0.133333,0.088467,0
customer.c_custkey,lineitem.l_discount,customer,lineitem,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",Tracks detailed sales transactions for each order line item in a large retail environment.,numeric,numeric,0.039465,0.2,0.090515,0
customer.c_custkey,lineitem.l_tax,customer,lineitem,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",Tracks detailed sales transactions for each order line item in a large retail environment.,numeric,numeric,0.047702,0.222222,0.09224,0
customer.c_custkey,lineitem.l_returnflag,customer,lineitem,"Captures customer details including name, address, phone, account balance, market segment, and comments for a business's client base.",Tracks detailed sales transactions for each order line item in a large retail environment.,numeric,nominal,0.722892,0.166667,0.113156,0
