col_i,col_j,table_i,table_j,P_stat,P_stat_norm,P_name,P_sem,Sim_attr
customer.c_custkey,customer.c_name,customer,customer,0.225960,0.070512,0.333333,0.157642,0.601603
customer.c_custkey,customer.c_address,customer,customer,0.201946,0.063018,0.222222,0.125782,0.543864
customer.c_custkey,customer.c_nationkey,customer,customer,0.093027,0.029030,0.454545,0.164645,0.686936
customer.c_custkey,customer.c_phone,customer,customer,0.237217,0.074025,0.333333,0.136544,0.600022
customer.c_custkey,customer.c_acctbal,customer,customer,0.238771,0.074510,0.333333,0.145523,0.599804
customer.c_custkey,customer.c_mktsegment,customer,customer,0.277590,0.086624,0.333333,0.194204,0.594353
customer.c_custkey,customer.c_comment,customer,customer,0.538600,0.168073,0.333333,0.128326,0.557700
customer.c_custkey,lineitem.l_orderkey,customer,lineitem,0.000000,0.000000,0.400000,0.114385,0.670000
customer.c_custkey,lineitem.l_partkey,customer,lineitem,0.117181,0.036567,0.555556,0.110405,0.739101
customer.c_custkey,lineitem.l_suppkey,customer,lineitem,0.004905,0.001531,0.555556,0.115968,0.754867
customer.c_custkey,lineitem.l_linenumber,customer,lineitem,0.000000,0.000000,0.166667,0.105014,0.541667
customer.c_custkey,lineitem.l_quantity,customer,lineitem,0.014703,0.004588,0.400000,0.110648,0.667935
customer.c_custkey,lineitem.l_extendedprice,customer,lineitem,0.416793,0.130063,0.133333,0.088467,0.464805
customer.c_custkey,lineitem.l_discount,customer,lineitem,0.039465,0.012315,0.200000,0.090515,0.554458
customer.c_custkey,lineitem.l_tax,customer,lineitem,0.047702,0.014886,0.222222,0.092240,0.565524
customer.c_custkey,lineitem.l_returnflag,customer,lineitem,0.722892,0.225583,0.166667,0.113156,0.440155
customer.c_custkey,lineitem.l_linestatus,customer,lineitem,1.089918,0.340115,0.250000,0.112799,0.434448
customer.c_custkey,lineitem.l_shipdate,customer,lineitem,0.272169,0.084932,0.100000,0.102633,0.466781
customer.c_custkey,lineitem.l_commitdate,customer,lineitem,0.272169,0.084932,0.250000,0.085372,0.549281
customer.c_custkey,lineitem.l_receiptdate,customer,lineitem,0.272169,0.084932,0.230769,0.088495,0.538704
