,customer.c_acctbal,customer.c_address,customer.c_comment,customer.c_custkey,customer.c_mktsegment,customer.c_name,customer.c_nationkey,customer.c_phone,lineitem.l_comment,lineitem.l_commitdate,lineitem.l_discount,lineitem.l_extendedprice,lineitem.l_linenumber,lineitem.l_linestatus,lineitem.l_orderkey,lineitem.l_partkey,lineitem.l_quantity,lineitem.l_receiptdate,lineitem.l_returnflag,lineitem.l_shipdate,lineitem.l_shipinstruct,lineitem.l_shipmode,lineitem.l_suppkey,lineitem.l_tax,nation.n_comment,nation.n_name,nation.n_nationkey,nation.n_regionkey,orders.o_clerk,orders.o_comment,orders.o_custkey,orders.o_orderdate,orders.o_orderkey,orders.o_orderpriority,orders.o_orderstatus,orders.o_shippriority,orders.o_totalprice,part.p_brand,part.p_comment,part.p_container,part.p_mfgr,part.p_name,part.p_partkey,part.p_retailprice,part.p_size,part.p_type,partsupp.ps_availqty,partsupp.ps_comment,partsupp.ps_partkey,partsupp.ps_suppkey,partsupp.ps_supplycost,region.r_comment,region.r_name,region.r_regionkey,supplier.s_acctbal,supplier.s_address,supplier.s_comment,supplier.s_name,supplier.s_nationkey,supplier.s_phone,supplier.s_suppkey
customer.c_acctbal,1.000000,0.592153,0.483767,0.599804,0.489864,0.527669,0.579534,0.526089,0.470355,0.536458,0.532002,0.409469,0.508137,0.375793,0.471471,0.555148,0.524472,0.568189,0.427332,0.508958,0.463504,0.449507,0.477083,0.606492,0.413285,0.457525,0.526199,0.476199,0.526089,0.442533,0.540062,0.498958,0.471471,0.436541,0.420281,0.214671,0.310331,0.458106,0.466597,0.497097,0.463996,0.463494,0.538693,0.481488,0.482750,0.530925,0.514544,0.341218,0.526471,0.489190,0.459374,0.413898,0.458269,0.476199,0.913373,0.534302,0.455459,0.466558,0.522352,0.464977,0.477582
customer.c_address,0.592153,1.000000,0.577815,0.543864,0.573011,0.620551,0.566744,0.620567,0.560536,0.482106,0.479248,0.534239,0.467475,0.444640,0.586642,0.538188,0.474643,0.478580,0.450346,0.491272,0.486517,0.486821,0.482254,0.484202,0.507333,0.555950,0.520058,0.470058,0.559456,0.536581,0.484668,0.586272,0.586642,0.547189,0.527910,0.276970,0.370934,0.556531,0.563049,0.484411,0.559461,0.553676,0.543864,0.530680,0.546872,0.562123,0.526978,0.429155,0.531642,0.467198,0.507326,0.507946,0.556694,0.470058,0.552820,0.932152,0.549507,0.559440,0.523931,0.559456,0.482753
customer.c_comment,0.483767,0.577815,1.000000,0.557700,0.654993,0.633051,0.519470,0.568996,0.889151,0.655754,0.541973,0.413630,0.466034,0.343288,0.484367,0.429802,0.482369,0.507677,0.394828,0.490754,0.470285,0.486303,0.434979,0.436927,0.929519,0.561543,0.472783,0.472783,0.568996,0.919012,0.498504,0.530754,0.484367,0.491670,0.430084,0.221452,0.277827,0.501013,0.876171,0.578893,0.506903,0.589660,0.435478,0.398790,0.499597,0.514085,0.479703,0.814673,0.429367,0.419923,0.460052,0.912369,0.562287,0.472783,0.444434,0.521687,0.906086,0.571940,0.476656,0.507885,0.435478
customer.c_custkey,0.599804,0.543864,0.557700,1.000000,0.594353,0.601603,0.686936,0.600022,0.544288,0.549281,0.554458,0.464805,0.541667,0.434448,0.670000,0.739101,0.667935,0.538704,0.440155,0.466781,0.515612,0.462329,0.754867,0.565524,0.487219,0.531458,0.640268,0.640268,0.600022,0.516466,0.936974,0.461781,0.670000,0.486030,0.475411,0.266779,0.278129,0.470928,0.540530,0.609919,0.476818,0.537428,0.755556,0.471402,0.628165,0.543747,0.536949,0.409040,0.725000,0.707281,0.533427,0.487831,0.532202,0.640268,0.562640,0.486013,0.529392,0.540492,0.644119,0.538911,0.755556
customer.c_mktsegment,0.489864,0.573011,0.654993,0.594353,1.000000,0.623695,0.589455,0.580807,0.658898,0.494048,0.596959,0.486949,0.502686,0.367461,0.548519,0.497010,0.454854,0.532830,0.464835,0.539882,0.489151,0.536577,0.502187,0.504136,0.599789,0.584544,0.546936,0.501103,0.534973,0.629037,0.550435,0.539882,0.548519,0.518352,0.457783,0.291459,0.314479,0.540465,0.671878,0.539702,0.581788,0.561167,0.502686,0.477750,0.551527,0.575631,0.416356,0.487999,0.456853,0.447409,0.496704,0.600402,0.583332,0.501103,0.465809,0.522195,0.641963,0.577862,0.550808,0.534973,0.502686
customer.c_name,0.527669,0.620551,0.633051,0.601603,0.623695,1.000000,0.663372,0.682769,0.621679,0.579647,0.475876,0.494200,0.601603,0.450514,0.528270,0.595927,0.526271,0.569070,0.456221,0.607147,0.484057,0.600272,0.539992,0.603052,0.562570,0.895739,0.616686,0.516686,0.525626,0.591818,0.542407,0.592147,0.528270,0.510732,0.449169,0.243559,0.367562,0.597326,0.628464,0.638397,0.537740,0.890614,0.601603,0.527308,0.604611,0.630078,0.523606,0.478280,0.583270,0.518825,0.461646,0.563183,0.894931,0.516686,0.488337,0.560378,0.604743,0.908333,0.620558,0.604198,0.540492
customer.c_nationkey,0.579534,0.566744,0.519470,0.686936,0.589455,0.663372,1.000000,0.661791,0.517169,0.498550,0.542468,0.490727,0.528604,0.337884,0.636936,0.696608,0.584890,0.491499,0.481091,0.506883,0.471429,0.502432,0.636266,0.543625,0.460099,0.604339,0.946665,0.796665,0.511791,0.489347,0.635823,0.456883,0.636936,0.554466,0.385898,0.340453,0.318256,0.504920,0.513411,0.555022,0.460810,0.610308,0.686936,0.542961,0.592095,0.566627,0.523904,0.344143,0.636936,0.595344,0.478074,0.460712,0.605082,0.796665,0.534948,0.520005,0.502273,0.613372,0.942814,0.611791,0.636936
customer.c_phone,0.526089,0.620567,0.568996,0.600022,0.580807,0.682769,0.661791,1.000000,0.557623,0.536759,0.584295,0.492619,0.554189,0.407626,0.526689,0.594346,0.524690,0.572015,0.459166,0.610092,0.525480,0.658217,0.538412,0.496709,0.498514,0.597494,0.615105,0.615105,0.528571,0.527762,0.540826,0.545092,0.526689,0.550343,0.409806,0.325076,0.365981,0.600271,0.568629,0.591342,0.527590,0.586478,0.600022,0.525727,0.576839,0.600943,0.472025,0.420335,0.581689,0.517245,0.544681,0.499127,0.596685,0.615105,0.486756,0.558420,0.540687,0.604198,0.618978,0.921429,0.538911
lineitem.l_comment,0.470355,0.560536,0.889151,0.544288,0.658898,0.621679,0.517169,0.557623,1.000000,0.751326,0.644672,0.497996,0.559566,0.438860,0.587066,0.538612,0.585067,0.599723,0.490399,0.595493,0.557964,0.591041,0.543789,0.545737,0.879780,0.611281,0.520482,0.520482,0.618734,0.909028,0.546203,0.580492,0.532066,0.541409,0.479822,0.271190,0.325526,0.550751,0.925909,0.628631,0.556641,0.626473,0.483177,0.446489,0.547296,0.563823,0.527402,0.764935,0.477066,0.467622,0.507750,0.880393,0.612025,0.520482,0.492133,0.566869,0.921953,0.621679,0.524355,0.557623,0.483177
lineitem.l_commitdate,0.536458,0.482106,0.655754,0.549281,0.494048,0.579647,0.498550,0.536759,0.751326,1.000000,0.551887,0.524378,0.503447,0.504200,0.549281,0.543605,0.593115,0.788462,0.464074,0.770833,0.566510,0.626458,0.502948,0.596563,0.646384,0.582759,0.501864,0.501864,0.536759,0.675632,0.551196,0.725000,0.503447,0.553233,0.499330,0.329984,0.361073,0.539704,0.718472,0.629584,0.537740,0.561928,0.503447,0.520819,0.552289,0.576392,0.508784,0.534594,0.457614,0.402337,0.455157,0.646996,0.581547,0.501864,0.558237,0.477123,0.688557,0.579647,0.505736,0.536759,0.457614
