table,column,domain_id,domain_name
Cities,CityID,0,City and Geographical Information Management
Cities,CityName,0,City and Geographical Information Management
Cities,LastEditedBy,0,City and Geographical Information Management
Cities,LatestRecordedPopulation,0,City and Geographical Information Management
Cities,Location,0,City and Geographical Information Management
Cities,StateProvinceID,0,City and Geographical Information Management
Cities,ValidFrom,0,City and Geographical Information Management
Cities,ValidTo,0,City and Geographical Information Management
PackageTypes,LastEditedBy,0,City and Geographical Information Management
PackageTypes,PackageTypeID,0,City and Geographical Information Management
PackageTypes,PackageTypeName,0,City and Geographical Information Management
PackageTypes,ValidFrom,0,City and Geographical Information Management
PackageTypes,ValidTo,0,City and Geographical Information Management
StateProvinces,Border,0,City and Geographical Information Management
StateProvinces,CountryID,0,City and Geographical Information Management
StateProvinces,LastEditedBy,0,City and Geographical Information Management
StateProvinces,LatestRecordedPopulation,0,City and Geographical Information Management
StateProvinces,SalesTerritory,0,City and Geographical Information Management
StateProvinces,StateProvinceCode,0,City and Geographical Information Management
StateProvinces,StateProvinceID,0,City and Geographical Information Management
StateProvinces,StateProvinceName,0,City and Geographical Information Management
StateProvinces,ValidFrom,0,City and Geographical Information Management
StateProvinces,ValidTo,0,City and Geographical Information Management
StockGroups,LastEditedBy,0,City and Geographical Information Management
StockGroups,StockGroupID,0,City and Geographical Information Management
StockGroups,StockGroupName,0,City and Geographical Information Management
StockGroups,ValidFrom,0,City and Geographical Information Management
StockGroups,ValidTo,0,City and Geographical Information Management
TransactionTypes,LastEditedBy,0,City and Geographical Information Management
TransactionTypes,TransactionTypeID,0,City and Geographical Information Management
TransactionTypes,TransactionTypeName,0,City and Geographical Information Management
TransactionTypes,ValidFrom,0,City and Geographical Information Management
TransactionTypes,ValidTo,0,City and Geographical Information Management
Customers,AccountOpenedDate,1,Customer-Supplier Management
Customers,AlternateContactPersonID,1,Customer-Supplier Management
Customers,BillToCustomerID,1,Customer-Supplier Management
Customers,BuyingGroupID,1,Customer-Supplier Management
Customers,CreditLimit,1,Customer-Supplier Management
Customers,CustomerCategoryID,1,Customer-Supplier Management
Customers,CustomerID,1,Customer-Supplier Management
Customers,CustomerName,1,Customer-Supplier Management
Customers,DeliveryAddressLine1,1,Customer-Supplier Management
Customers,DeliveryAddressLine2,1,Customer-Supplier Management
Customers,DeliveryCityID,1,Customer-Supplier Management
Customers,DeliveryLocation,1,Customer-Supplier Management
Customers,DeliveryMethodID,1,Customer-Supplier Management
